water activity,diameter,H/D,thickness,pressure,time for removal
0.43,5,6,0.4,0.12,5
0.43,5,6,0.4,0.12,6
0.43,5,6,0.4,0.12,4
0.43,5,6,0.8,0.12,4
0.43,5,6,0.8,0.12,2
0.43,5,6,0.8,0.12,2
0.43,5,6,1.2,0.12,5
0.43,5,6,1.2,0.12,4
0.43,5,6,1.2,0.12,4
0.43,5,8,0.4,0.12,13
0.43,5,8,0.4,0.12,11
0.43,5,8,0.4,0.12,8
0.43,5,8,0.8,0.12,5
0.43,5,8,0.8,0.12,4
0.43,5,8,0.8,0.12,6
0.43,5,8,1.2,0.12,9
0.43,5,8,1.2,0.12,5
0.43,5,8,1.2,0.12,6
0.75,3,6,0.4,0.12,112
0.75,3,6,0.4,0.12,144
0.75,3,6,0.4,0.12,149
0.75,3,6,0.4,0.16,86
0.75,3,6,0.4,0.16,95
0.75,3,6,0.4,0.16,91
0.75,3,6,0.4,0.2,35
0.75,3,6,0.4,0.2,37
0.75,3,6,0.4,0.2,40
0.75,3,6,0.8,0.12,84
0.75,3,6,0.8,0.12,113
0.75,3,6,0.8,0.12,124
0.75,3,6,0.8,0.16,67
0.75,3,6,0.8,0.16,51
0.75,3,6,0.8,0.16,58
0.75,3,6,0.8,0.2,11
0.75,3,6,0.8,0.2,14
0.75,3,6,0.8,0.2,22
0.75,3,6,1.2,0.12,160
0.75,3,6,1.2,0.12,190
0.75,3,6,1.2,0.12,150
0.75,3,6,1.2,0.16,112
0.75,3,6,1.2,0.16,129
0.75,3,6,1.2,0.16,132
0.75,3,6,1.2,0.2,55
0.75,3,6,1.2,0.2,62
0.75,3,6,1.2,0.2,61
0.75,4,6,0.4,0.12,276
0.75,4,6,0.4,0.12,292
0.75,4,6,0.4,0.12,332
0.75,4,6,0.4,0.16,237
0.75,4,6,0.4,0.16,216
0.75,4,6,0.4,0.16,262
0.75,4,6,0.4,0.2,46
0.75,4,6,0.4,0.2,96
0.75,4,6,0.4,0.2,63
0.75,4,6,0.8,0.12,106
0.75,4,6,0.8,0.12,113
0.75,4,6,0.8,0.12,118
0.75,4,6,0.8,0.16,71
0.75,4,6,0.8,0.16,68
0.75,4,6,0.8,0.16,79
0.75,4,6,0.8,0.2,33
0.75,4,6,0.8,0.2,55
0.75,4,6,0.8,0.2,47
0.75,4,6,1.2,0.12,236
0.75,4,6,1.2,0.12,304
0.75,4,6,1.2,0.12,242
0.75,4,6,1.2,0.16,129
0.75,4,6,1.2,0.16,162
0.75,4,6,1.2,0.16,133
0.75,4,6,1.2,0.2,68
0.75,4,6,1.2,0.2,76
0.75,4,6,1.2,0.2,67
0.75,5,6,0.4,0.12,513
0.75,5,6,0.4,0.12,433
0.75,5,6,0.4,0.12,349
0.75,5,6,0.4,0.16,273
0.75,5,6,0.4,0.16,247
0.75,5,6,0.4,0.16,283
0.75,5,6,0.4,0.2,196
0.75,5,6,0.4,0.2,171
0.75,5,6,0.4,0.2,203
0.75,5,6,0.8,0.12,258
0.75,5,6,0.8,0.12,224
0.75,5,6,0.8,0.12,304
0.75,5,6,0.8,0.16,178
0.75,5,6,0.8,0.16,203
0.75,5,6,0.8,0.16,193
0.75,5,6,0.8,0.2,123
0.75,5,6,0.8,0.2,126
0.75,5,6,0.8,0.2,168
0.75,5,6,1.2,0.12,900
0.75,5,6,1.2,0.12,900
0.75,5,6,1.2,0.12,900
0.75,5,6,1.2,0.16,248
0.75,5,6,1.2,0.16,211
0.75,5,6,1.2,0.16,225
0.75,5,6,1.2,0.2,203
0.75,5,6,1.2,0.2,158
0.75,5,6,1.2,0.2,173
0.75,3,8,0.4,0.12,256
0.75,3,8,0.4,0.12,291
0.75,3,8,0.4,0.12,280
0.75,3,8,0.4,0.16,225
0.75,3,8,0.4,0.16,234
0.75,3,8,0.4,0.16,198
0.75,3,8,0.4,0.2,101
0.75,3,8,0.4,0.2,104
0.75,3,8,0.4,0.2,99
0.75,3,8,0.8,0.12,116
0.75,3,8,0.8,0.12,115
0.75,3,8,0.8,0.12,110
0.75,3,8,0.8,0.16,45
0.75,3,8,0.8,0.16,75
0.75,3,8,0.8,0.16,68
0.75,3,8,0.8,0.2,31
0.75,3,8,0.8,0.2,33
0.75,3,8,0.8,0.2,44
0.75,3,8,1.2,0.12,167
0.75,3,8,1.2,0.12,198
0.75,3,8,1.2,0.12,160
0.75,3,8,1.2,0.16,144
0.75,3,8,1.2,0.16,139
0.75,3,8,1.2,0.16,131
0.75,3,8,1.2,0.2,74
0.75,3,8,1.2,0.2,71
0.75,3,8,1.2,0.2,84
0.75,4,8,0.4,0.12,351
0.75,4,8,0.4,0.12,361
0.75,4,8,0.4,0.12,373
0.75,4,8,0.4,0.16,224
0.75,4,8,0.4,0.16,291
0.75,4,8,0.4,0.16,236
0.75,4,8,0.4,0.2,170
0.75,4,8,0.4,0.2,161
0.75,4,8,0.4,0.2,185
0.75,4,8,0.8,0.12,115
0.75,4,8,0.8,0.12,102
0.75,4,8,0.8,0.12,133
0.75,4,8,0.8,0.16,76
0.75,4,8,0.8,0.16,96
0.75,4,8,0.8,0.16,84
0.75,4,8,0.8,0.2,48
0.75,4,8,0.8,0.2,45
0.75,4,8,0.8,0.2,54
0.75,4,8,1.2,0.12,900
0.75,4,8,1.2,0.12,900
0.75,4,8,1.2,0.12,900
0.75,4,8,1.2,0.16,134
0.75,4,8,1.2,0.16,146
0.75,4,8,1.2,0.16,135
0.75,4,8,1.2,0.2,68
0.75,4,8,1.2,0.2,98
0.75,4,8,1.2,0.2,88
0.75,5,8,0.4,0.12,900
0.75,5,8,0.4,0.12,900
0.75,5,8,0.4,0.12,900
0.75,5,8,0.4,0.16,298
0.75,5,8,0.4,0.16,290
0.75,5,8,0.4,0.16,347
0.75,5,8,0.4,0.2,224
0.75,5,8,0.4,0.2,273
0.75,5,8,0.4,0.2,235
0.75,5,8,0.8,0.12,355
0.75,5,8,0.8,0.12,337
0.75,5,8,0.8,0.12,391
0.75,5,8,0.8,0.16,297
0.75,5,8,0.8,0.16,270
0.75,5,8,0.8,0.16,265
0.75,5,8,0.8,0.2,232
0.75,5,8,0.8,0.2,246
0.75,5,8,0.8,0.2,211
0.75,5,8,1.2,0.12,900
0.75,5,8,1.2,0.12,900
0.75,5,8,1.2,0.12,900
0.75,5,8,1.2,0.16,900
0.75,5,8,1.2,0.16,900
0.75,5,8,1.2,0.16,900
0.75,5,8,1.2,0.2,900
0.75,5,8,1.2,0.2,900
0.75,5,8,1.2,0.2,900
0.75,3,10,0.4,0.12,293
0.75,3,10,0.4,0.12,286
0.75,3,10,0.4,0.12,289
0.75,3,10,0.4,0.16,230
0.75,3,10,0.4,0.16,262
0.75,3,10,0.4,0.16,231
0.75,3,10,0.4,0.2,184
0.75,3,10,0.4,0.2,178
0.75,3,10,0.4,0.2,137
0.75,3,10,0.8,0.12,123
0.75,3,10,0.8,0.12,146
0.75,3,10,0.8,0.12,146
0.75,3,10,0.8,0.16,88
0.75,3,10,0.8,0.16,89
0.75,3,10,0.8,0.16,75
0.75,3,10,0.8,0.2,51
0.75,3,10,0.8,0.2,54
0.75,3,10,0.8,0.2,66
0.75,3,10,1.2,0.12,233
0.75,3,10,1.2,0.12,245
0.75,3,10,1.2,0.12,219
0.75,3,10,1.2,0.16,164
0.75,3,10,1.2,0.16,146
0.75,3,10,1.2,0.16,142
0.75,3,10,1.2,0.2,129
0.75,3,10,1.2,0.2,130
0.75,3,10,1.2,0.2,128
0.75,4,10,0.4,0.12,900
0.75,4,10,0.4,0.12,900
0.75,4,10,0.4,0.12,900
0.75,4,10,0.4,0.16,371
0.75,4,10,0.4,0.16,318
0.75,4,10,0.4,0.16,334
0.75,4,10,0.4,0.2,243
0.75,4,10,0.4,0.2,160
0.75,4,10,0.4,0.2,240
0.75,4,10,0.8,0.12,149
0.75,4,10,0.8,0.12,161
0.75,4,10,0.8,0.12,134
0.75,4,10,0.8,0.16,95
0.75,4,10,0.8,0.16,93
0.75,4,10,0.8,0.16,85
0.75,4,10,0.8,0.2,42
0.75,4,10,0.8,0.2,70
0.75,4,10,0.8,0.2,51
0.75,4,10,1.2,0.12,900
0.75,4,10,1.2,0.12,900
0.75,4,10,1.2,0.12,900
0.75,4,10,1.2,0.16,192
0.75,4,10,1.2,0.16,205
0.75,4,10,1.2,0.16,229
0.75,4,10,1.2,0.2,153
0.75,4,10,1.2,0.2,173
0.75,4,10,1.2,0.2,138
0.75,5,10,0.4,0.12,900
0.75,5,10,0.4,0.12,900
0.75,5,10,0.4,0.12,900
0.75,5,10,0.4,0.16,588
0.75,5,10,0.4,0.16,616
0.75,5,10,0.4,0.16,526
0.75,5,10,0.4,0.2,323
0.75,5,10,0.4,0.2,290
0.75,5,10,0.4,0.2,316
0.75,5,10,0.8,0.12,900
0.75,5,10,0.8,0.12,900
0.75,5,10,0.8,0.12,900
0.75,5,10,0.8,0.16,301
0.75,5,10,0.8,0.16,362
0.75,5,10,0.8,0.16,326
0.75,5,10,0.8,0.2,231
0.75,5,10,0.8,0.2,248
0.75,5,10,0.8,0.2,280
0.75,5,10,1.2,0.12,900
0.75,5,10,1.2,0.12,900
0.75,5,10,1.2,0.12,900
0.75,5,10,1.2,0.16,900
0.75,5,10,1.2,0.16,900
0.75,5,10,1.2,0.16,900
0.75,5,10,1.2,0.2,900
0.75,5,10,1.2,0.2,900
0.75,5,10,1.2,0.2,900
0.85,3,6,0.4,0.12,223
0.85,3,6,0.4,0.12,246
0.85,3,6,0.4,0.12,250
0.85,3,6,0.4,0.16,101
0.85,3,6,0.4,0.16,118
0.85,3,6,0.4,0.16,93
0.85,3,6,0.4,0.2,56
0.85,3,6,0.4,0.2,69
0.85,3,6,0.4,0.2,50
0.85,3,6,0.8,0.12,198
0.85,3,6,0.8,0.12,213
0.85,3,6,0.8,0.12,224
0.85,3,6,0.8,0.16,159
0.85,3,6,0.8,0.16,142
0.85,3,6,0.8,0.16,129
0.85,3,6,0.8,0.2,44
0.85,3,6,0.8,0.2,51
0.85,3,6,0.8,0.2,39
0.85,3,6,1.2,0.12,900
0.85,3,6,1.2,0.12,900
0.85,3,6,1.2,0.12,900
0.85,3,6,1.2,0.16,150
0.85,3,6,1.2,0.16,145
0.85,3,6,1.2,0.16,166
0.85,3,6,1.2,0.2,51
0.85,3,6,1.2,0.2,46
0.85,3,6,1.2,0.2,50
0.85,4,6,0.4,0.12,900
0.85,4,6,0.4,0.12,900
0.85,4,6,0.4,0.12,900
0.85,4,6,0.4,0.16,900
0.85,4,6,0.4,0.16,900
0.85,4,6,0.4,0.16,900
0.85,4,6,0.4,0.2,900
0.85,4,6,0.4,0.2,900
0.85,4,6,0.4,0.2,900
0.85,4,6,0.8,0.12,900
0.85,4,6,0.8,0.12,900
0.85,4,6,0.8,0.12,900
0.85,4,6,0.8,0.16,900
0.85,4,6,0.8,0.16,900
0.85,4,6,0.8,0.16,900
0.85,4,6,0.8,0.2,403
0.85,4,6,0.8,0.2,407
0.85,4,6,0.8,0.2,373
0.85,4,6,1.2,0.12,900
0.85,4,6,1.2,0.12,900
0.85,4,6,1.2,0.12,900
0.85,4,6,1.2,0.16,900
0.85,4,6,1.2,0.16,900
0.85,4,6,1.2,0.16,900
0.85,4,6,1.2,0.2,524
0.85,4,6,1.2,0.2,631
0.85,4,6,1.2,0.2,560
0.85,5,6,0.4,0.12,900
0.85,5,6,0.4,0.12,900
0.85,5,6,0.4,0.12,900
0.85,5,6,0.4,0.16,900
0.85,5,6,0.4,0.16,900
0.85,5,6,0.4,0.16,900
0.85,5,6,0.4,0.2,900
0.85,5,6,0.4,0.2,900
0.85,5,6,0.4,0.2,900
0.85,5,6,0.8,0.12,900
0.85,5,6,0.8,0.12,900
0.85,5,6,0.8,0.12,900
0.85,5,6,0.8,0.16,900
0.85,5,6,0.8,0.16,900
0.85,5,6,0.8,0.16,900
0.85,5,6,0.8,0.2,900
0.85,5,6,0.8,0.2,900
0.85,5,6,0.8,0.2,900
0.85,5,6,1.2,0.12,900
0.85,5,6,1.2,0.12,900
0.85,5,6,1.2,0.12,900
0.85,5,6,1.2,0.16,900
0.85,5,6,1.2,0.16,900
0.85,5,6,1.2,0.16,900
0.85,5,6,1.2,0.2,900
0.85,5,6,1.2,0.2,900
0.85,5,6,1.2,0.2,900
0.85,3,8,0.4,0.12,392
0.85,3,8,0.4,0.12,323
0.85,3,8,0.4,0.12,337
0.85,3,8,0.4,0.16,258
0.85,3,8,0.4,0.16,247
0.85,3,8,0.4,0.16,248
0.85,3,8,0.4,0.2,122
0.85,3,8,0.4,0.2,101
0.85,3,8,0.4,0.2,113
0.85,3,8,0.8,0.12,900
0.85,3,8,0.8,0.12,900
0.85,3,8,0.8,0.12,900
0.85,3,8,0.8,0.16,72
0.85,3,8,0.8,0.16,89
0.85,3,8,0.8,0.16,90
0.85,3,8,0.8,0.2,105
0.85,3,8,0.8,0.2,115
0.85,3,8,0.8,0.2,133
0.85,3,8,1.2,0.12,900
0.85,3,8,1.2,0.12,900
0.85,3,8,1.2,0.12,900
0.85,3,8,1.2,0.16,203
0.85,3,8,1.2,0.16,225
0.85,3,8,1.2,0.16,206
0.85,3,8,1.2,0.2,186
0.85,3,8,1.2,0.2,162
0.85,3,8,1.2,0.2,178
0.85,4,8,0.4,0.12,900
0.85,4,8,0.4,0.12,900
0.85,4,8,0.4,0.12,900
0.85,4,8,0.4,0.16,900
0.85,4,8,0.4,0.16,900
0.85,4,8,0.4,0.16,900
0.85,4,8,0.4,0.2,900
0.85,4,8,0.4,0.2,900
0.85,4,8,0.4,0.2,900
0.85,4,8,0.8,0.12,900
0.85,4,8,0.8,0.12,900
0.85,4,8,0.8,0.12,900
0.85,4,8,0.8,0.16,900
0.85,4,8,0.8,0.16,900
0.85,4,8,0.8,0.16,900
0.85,4,8,0.8,0.2,342
0.85,4,8,0.8,0.2,311
0.85,4,8,0.8,0.2,320
0.85,4,8,1.2,0.12,900
0.85,4,8,1.2,0.12,900
0.85,4,8,1.2,0.12,900
0.85,4,8,1.2,0.16,900
0.85,4,8,1.2,0.16,900
0.85,4,8,1.2,0.16,900
0.85,4,8,1.2,0.2,900
0.85,4,8,1.2,0.2,900
0.85,4,8,1.2,0.2,900
0.85,5,8,0.4,0.12,900
0.85,5,8,0.4,0.12,900
0.85,5,8,0.4,0.12,900
0.85,5,8,0.4,0.16,900
0.85,5,8,0.4,0.16,900
0.85,5,8,0.4,0.16,900
0.85,5,8,0.4,0.2,900
0.85,5,8,0.4,0.2,900
0.85,5,8,0.4,0.2,900
0.85,5,8,0.8,0.12,900
0.85,5,8,0.8,0.12,900
0.85,5,8,0.8,0.12,900
0.85,5,8,0.8,0.16,900
0.85,5,8,0.8,0.16,900
0.85,5,8,0.8,0.16,900
0.85,5,8,0.8,0.2,390
0.85,5,8,0.8,0.2,435
0.85,5,8,0.8,0.2,428
0.85,5,8,1.2,0.12,900
0.85,5,8,1.2,0.12,900
0.85,5,8,1.2,0.12,900
0.85,5,8,1.2,0.16,900
0.85,5,8,1.2,0.16,900
0.85,5,8,1.2,0.16,900
0.85,5,8,1.2,0.2,900
0.85,5,8,1.2,0.2,900
0.85,5,8,1.2,0.2,900
0.85,3,10,0.4,0.12,900
0.85,3,10,0.4,0.12,900
0.85,3,10,0.4,0.12,900
0.85,3,10,0.4,0.16,900
0.85,3,10,0.4,0.16,900
0.85,3,10,0.4,0.16,900
0.85,3,10,0.4,0.2,900
0.85,3,10,0.4,0.2,900
0.85,3,10,0.4,0.2,900
0.85,3,10,0.8,0.12,900
0.85,3,10,0.8,0.12,900
0.85,3,10,0.8,0.12,900
0.85,3,10,0.8,0.16,900
0.85,3,10,0.8,0.16,900
0.85,3,10,0.8,0.16,900
0.85,3,10,0.8,0.2,287
0.85,3,10,0.8,0.2,420
0.85,3,10,0.8,0.2,393
0.85,3,10,1.2,0.12,900
0.85,3,10,1.2,0.12,900
0.85,3,10,1.2,0.12,900
0.85,3,10,1.2,0.16,900
0.85,3,10,1.2,0.16,900
0.85,3,10,1.2,0.16,900
0.85,3,10,1.2,0.2,426
0.85,3,10,1.2,0.2,428
0.85,3,10,1.2,0.2,444
0.85,4,10,0.4,0.12,900
0.85,4,10,0.4,0.12,900
0.85,4,10,0.4,0.12,900
0.85,4,10,0.4,0.16,900
0.85,4,10,0.4,0.16,900
0.85,4,10,0.4,0.16,900
0.85,4,10,0.4,0.2,900
0.85,4,10,0.4,0.2,900
0.85,4,10,0.4,0.2,900
0.85,4,10,0.8,0.12,900
0.85,4,10,0.8,0.12,900
0.85,4,10,0.8,0.12,900
0.85,4,10,0.8,0.16,900
0.85,4,10,0.8,0.16,900
0.85,4,10,0.8,0.16,900
0.85,4,10,0.8,0.2,396
0.85,4,10,0.8,0.2,382
0.85,4,10,0.8,0.2,402
0.85,4,10,1.2,0.12,900
0.85,4,10,1.2,0.12,900
0.85,4,10,1.2,0.12,900
0.85,4,10,1.2,0.16,900
0.85,4,10,1.2,0.16,900
0.85,4,10,1.2,0.16,900
0.85,4,10,1.2,0.2,900
0.85,4,10,1.2,0.2,900
0.85,4,10,1.2,0.2,900
0.85,5,10,0.4,0.12,900
0.85,5,10,0.4,0.12,900
0.85,5,10,0.4,0.12,900
0.85,5,10,0.4,0.16,900
0.85,5,10,0.4,0.16,900
0.85,5,10,0.4,0.16,900
0.85,5,10,0.4,0.2,900
0.85,5,10,0.4,0.2,900
0.85,5,10,0.4,0.2,900
0.85,5,10,0.8,0.12,900
0.85,5,10,0.8,0.12,900
0.85,5,10,0.8,0.12,900
0.85,5,10,0.8,0.16,900
0.85,5,10,0.8,0.16,900
0.85,5,10,0.8,0.16,900
0.85,5,10,0.8,0.2,491
0.85,5,10,0.8,0.2,519
0.85,5,10,0.8,0.2,457
0.85,5,10,1.2,0.12,900
0.85,5,10,1.2,0.12,900
0.85,5,10,1.2,0.12,900
0.85,5,10,1.2,0.16,900
0.85,5,10,1.2,0.16,900
0.85,5,10,1.2,0.16,900
0.85,5,10,1.2,0.2,900
0.85,5,10,1.2,0.2,900
0.85,5,10,1.2,0.2,900
